TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCU_012157-RA;3.00;0.62;0.00;0.00;1.00;0.21;2.00;0.49
MCU_012158-RA;12.00;1.25;15.00;1.29;30.00;3.12;6.00;0.76
MCU_012159-RA;57.58;5.35;104.28;8.00;69.21;6.43;44.22;4.99
MCU_012160-RA;103.00;3.56;257.00;7.36;198.00;6.84;93.00;3.93
MCU_012160-RB;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012161-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012163-RA;22.51;1.57;41.42;2.38;37.09;2.58;25.84;2.19
MCU_012163-RB;167.76;16.29;339.68;27.19;153.87;14.93;211.80;24.94
MCU_012163-RC;55.27;3.96;60.29;3.57;36.96;2.65;35.13;3.06
MCU_012163-RD;90.95;7.79;137.34;9.70;106.30;9.09;82.00;8.52
MCU_012163-RE;368.51;30.56;411.27;28.14;291.79;24.17;274.23;27.62
MCU_012164-RA;390.00;100.57;416.00;87.49;488.00;125.52;400.00;122.72
MCU_012165-RA;688.00;24.68;1017.00;30.20;1137.00;40.75;513.00;22.48
MCU_012166-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012167-RA;1.59;0.16;0.00;0.00;2.00;0.21;1.00;0.12
MCU_012168-RA;8.00;5.07;5.00;2.55;3.77;2.38;1.00;0.73
MCU_012169-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012170-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012171-RA;3.00;0.16;0.00;0.00;3.00;0.16;0.00;0.00
MCU_012171-RB;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012172-RA;2314.00;183.30;3021.00;197.51;2127.00;168.31;1654.00;159.20
MCU_012173-RA;524.21;12.58;609.01;12.12;528.25;12.67;433.95;12.75
MCU_012174-RA;192.79;10.04;214.99;9.26;339.75;17.68;200.05;12.70
MCU_012174-RB;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012175-RA;848.00;259.49;824.00;205.09;701.00;213.87;988.00;357.96
MCU_012176-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012177-RA;187.38;19.23;200.88;16.98;198.21;20.31;174.07;21.64
MCU_012177-RB;165.62;14.28;129.12;9.18;162.79;14.02;84.93;8.89
MCU_012179-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012180-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012181-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012183-RA;73.00;2.14;153.00;3.71;178.00;5.20;54.00;1.93
MCU_012184-RA;38.00;1.60;37.00;1.29;66.00;2.77;22.00;1.13
