TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000088201-mRNA-1 3460.00 5226.16 1135.00 2023.27 2196.00 5635.19 1295.00 2587.33
MCOS_0000091701-mRNA-1 586.00 82.16 537.00 82.52 366.00 83.80 470.00 80.20
MCOS_0000092801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000092901-mRNA-1 0.00 0.00 7.08 0.18 0.00 0.00 3.78 0.11
MCOS_0000094801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000095301-mRNA-1 546.00 467.65 287.00 285.55 321.00 464.48 289.00 322.23
MCOS_0000099001-mRNA-1 62.59 6.41 27.47 3.07 56.46 9.41 39.59 4.90
MCOS_0000101001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000102801-mRNA-1 41.00 7.50 60.00 12.11 27.00 8.10 62.00 13.92
MCOS_0000102901-mRNA-1 2.00 1.60 11.00 10.18 5.00 6.74 3.00 3.11
MCOS_0000105401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000106601-mRNA-1 0.00 0.00 62.01 10.60 21.53 5.48 45.62 8.67
MCOS_0000109901-mRNA-1 1864.84 422.54 1866.08 469.45 1163.80 434.52 1683.26 471.87
MCOS_0000111301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000113901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000116301-mRNA-1 3.00 0.21 80.22 6.03 12.20 1.37 66.26 5.51
MCOS_0000117301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000118001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000120001-mRNA-1 0.00 0.00 9.05 2.13 0.00 0.00 0.00 0.00
MCOS_0000120101-mRNA-1 152.75 39.53 140.18 40.45 91.43 39.10 122.65 39.47
