"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IV1","IV2","IV3","IV4","ICR1","ICR2","ICR3","ICR4"
"86","MCU_010721-RA",956.610639996674,2.42906612082289,0.287815565065032,8.43966211582074,3.18256308850695e-17,5.28083433406908e-15,1278.99212434527,1378.02942086588,1424.61473295675,2371.09273515992,282.615203759189,199.278603143175,308.384095348003,409.878204395209
"87","MCU_007878-RA",6651.27751303657,0.893317538855628,0.106093286753966,8.42011371489757,3.76119057254148e-17,6.16921718047895e-15,8101.19054079969,8806.72730418881,9121.69553670676,8557.82477252566,5428.09601353483,4064.97809629986,4498.73473089556,4630.97310934143
"88","MCU_000443-RB",4579.4193242257,-0.624344899407856,0.0744415122919957,-8.38705287123766,4.98480848574099e-17,8.08332012403681e-15,3662.81574333772,3479.93714603481,3756.1362675638,3517.82089102631,5140.77055637965,5467.56351382482,6117.94253674265,5492.3679388958
"89","MCU_003451-RA",1317.6045858317,-1.12936373422382,0.135495492532207,-8.3350649760941,7.74556454195227e-17,1.22810228904065e-14,749.253542346943,778.008621101376,810.219031973685,969.818928712753,1768.22912485333,1739.29754007721,1598.54683667985,2127.46306090847
"90","MCU_010796-RA",249.481508722374,-3.29298886496225,0.395024188101751,-8.3361701995677,7.67354438902769e-17,1.22810228904065e-14,49.8897637155955,76.1494287162903,29.3734996485928,28.0000215638853,668.855982230081,364.962345986351,437.706457913295,340.914570004904
"91","MCU_001817-RA",876.498422356338,-0.839405007864643,0.100991840775661,-8.31161212052037,9.44105861861536e-17,1.48048248887518e-14,690.292912501239,659.655894542322,560.544284960646,602.000463623533,1109.73570009442,1188.7999428886,1163.90126308763,1037.05691715232
"92","MCU_007519-RA",937.356025475103,-1.59506864260404,0.192402609633523,-8.29026511460645,1.1299632484491e-16,1.75267125601834e-14,383.69763730358,452.309257314833,446.721973822349,582.909539829975,1212.41922412692,1421.67340633177,1215.17107546558,1783.94608960581
"93","MCU_006997-RA",1268.99924427861,-1.43316695647219,0.173223279676514,-8.27352396946043,1.30056640946883e-16,1.99560028635701e-14,729.297636860705,725.713230296213,734.33749121482,552.364061760282,1429.0908803423,1967.58988620675,1802.8608651114,2210.73990243638
"94","MCU_000164-RA",320.572959100007,-6.57236595452346,0.796728758575099,-8.2491888033234,1.59473314350093e-16,2.42094063380407e-14,16.3275590341949,0,1.22389581869137,8.90909777032713,333.485940435843,664.262010477251,680.281540358251,860.093628905502
"95","MCU_001595-RA",15955.2800243054,-2.3904104667071,0.291047167342011,-8.21313771419777,2.1548217049511e-16,3.23676902417391e-14,3063.23149213756,3607.46450255968,5968.9399077578,7808.18783156527,26545.1040384214,25971.8810901082,24890.3460778772,29787.0852540163
"96","MCU_011961-RA",109.384023389264,-1.86533826288406,0.228048426763011,-8.17957084537369,2.84856555896082e-16,4.23427401316364e-14,43.5401574245197,57.8001687846541,40.3885620168151,45.8182171045395,208.193200102603,158.048547320449,146.922447411456,174.360886949073
"97","MCU_011997-RB",90.7269704995816,-2.44428988958811,0.300342351035885,-8.13834572832541,4.00715214829661e-16,5.89505785115388e-14,38.0976377464547,22.0191119179635,25.7018121925187,26.7272933109814,153.554260709159,197.75156403863,146.157226331188,115.806857749757
"98","MCU_002489-RA",144.19819693565,-2.95359507258503,0.36347398994791,-8.12601493990892,4.43634377391033e-16,6.45985976058167e-14,47.168503876563,42.2032978427633,23.254020555136,17.8181955406543,229.860365724141,239.745139413628,346.645149361403,206.890903170915
"99","MCU_000696-RA",1353.31434159974,0.902289525032559,0.111119956252392,8.11995932560618,4.66339945283996e-16,6.72188991838648e-14,1636.38424987153,1821.1640482149,1901.93410224638,1697.81948937377,956.181439385257,947.527764370423,1061.36163833171,804.142001003934
"100","MCU_005218-RA",110.238523622382,1.55323289733943,0.191505500829118,8.11064377062144,5.03522716653377e-16,7.18526916664369e-14,158.740157276895,164.225876388144,155.434768973804,179.454683659446,53.696888714246,67.1897205999978,45.9132648160799,57.2528285504419
"101","MCU_011407-RA",79.1115796237882,-3.24400030251822,0.403496223619513,-8.03972902997286,9.00373511810628e-16,1.27211188252848e-13,19.9559054862382,13.7619449487272,17.1345414616791,8.90909777032713,159.206564784343,118.345530602269,92.5917507124278,202.987301224294
"102","MCU_008723-RA",474.665423265929,-2.81967405866022,0.351561984635539,-8.02041796863602,1.05385946967433e-15,1.47437006198555e-13,108.850393561299,122.022578545381,144.419706605581,95.4546189677906,673.566235626068,616.16027868407,567.794041558855,1469.05553257838
